,big1nn,big2nn,big3nn,big4nn,big5nn,big6nn,big7nn,big8nn,big9nn,big10nn
1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
5,100.0,30.0,100.0,100.0,63.0,70.0,100.0,100.0,100.0,100.0
6,100.0,100.0,100.0,100.0,100.0,100.0,20.0,100.0,40.0,90.0
7,30.0,36.0,50.0,45.0,63.0,100.0,100.0,100.0,100.0,100.0
8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0,100.0
9,100.0,100.0,100.0,18.0,100.0,100.0,100.0,100.0,100.0,40.0
10,70.0,20.0,45.0,0.0,54.0,60.0,70.0,50.0,45.0,40.0
11,100.0,100.0,100.0,100.0,100.0,70.0,100.0,100.0,100.0,50.0
12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
13,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,30.0,100.0
14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
15,100.0,80.0,70.0,100.0,0.0,30.0,50.0,40.0,100.0,50.0
16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
17,100.0,70.0,100.0,40.0,100.0,10.0,30.0,9.0,100.0,100.0
18,0.0,0.0,0.0,0.0,30.0,50.0,50.0,70.0,70.0,0.0
19,100.0,100.0,100.0,41.0,100.0,100.0,100.0,100.0,100.0,100.0
20,0.0,25.0,58.0,0.0,30.0,60.0,50.0,20.0,36.0,50.0
21,60.0,0.0,36.0,80.0,30.0,60.0,63.0,40.0,0.0,100.0
22,100.0,100.0,50.0,40.0,0.0,100.0,18.0,100.0,40.0,100.0
23,100.0,100.0,50.0,30.0,100.0,50.0,0.0,45.0,70.0,80.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
